id,website_id,year,month,amount,paid,paid_at,created_at,updated_at,status,custom_price
bb66f8aa-0c68-49d8-85f7-c29cf6f08364,ba8de981-2435-452f-abfb-c93737ed0e13,2026,6,29,t,2026-06-15 18:24:59.968+00,2026-06-03 15:32:42.09947+00,2026-06-15 18:24:59.614152+00,paid,
0b1e134b-2d1b-40d4-886d-cb3a6df5660b,570bec50-43a7-4656-bf51-076bf08365c7,2026,5,35,f,,2026-05-03 22:36:08.077273+00,2026-06-15 20:34:00.400563+00,overdue,
d4aa1432-6a8a-4fb8-b94f-20db6b255d08,6e2453b0-c4db-4b83-8b1f-26f4d578377d,2026,6,35,f,,2026-06-15 17:26:53.331118+00,2026-06-15 21:12:58.181367+00,none,
f2aace9c-84b0-4c26-92ec-3f9bfaf7bbaf,570bec50-43a7-4656-bf51-076bf08365c7,2026,4,35,t,2026-05-03 22:43:33.262+00,2026-05-03 22:35:34.222569+00,2026-05-03 22:43:32.403639+00,paid,
244660c6-7fb6-46ad-97cf-6c6b9ab543b6,383c6b9e-4a57-4c9d-891d-3ac0cc863322,2026,5,35,t,2026-05-03 22:43:39.703+00,2026-05-03 22:34:39.325401+00,2026-05-03 22:43:38.855171+00,paid,
20249e67-f80c-4525-b989-44d1efd339ba,1fe2031b-61e8-4a65-a3d0-a0bd550e5e02,2026,4,49,t,2026-05-03 22:44:03.263+00,2026-05-03 22:25:57.824077+00,2026-05-03 22:44:02.41237+00,paid,
211f1c2d-ff7a-42bf-a647-e565a82e27cf,1fe2031b-61e8-4a65-a3d0-a0bd550e5e02,2026,3,49,t,2026-05-03 22:44:05.015+00,2026-05-03 22:25:56.721673+00,2026-05-03 22:44:04.154742+00,paid,
9d5a60d7-a1d9-4ae0-a817-46dd7f480ea4,383c6b9e-4a57-4c9d-891d-3ac0cc863322,2026,6,35,f,,2026-06-03 16:08:16.460584+00,2026-06-03 16:08:16.460584+00,invoice,
c224fd4b-d920-4ee7-a7ef-d94419fd03cb,ba8de981-2435-452f-abfb-c93737ed0e13,2026,1,29,f,,2026-05-06 03:41:02.831839+00,2026-05-06 03:41:07.516237+00,none,
0d79e9ce-3eb2-47f9-a0d0-26b4e9bd7609,570bec50-43a7-4656-bf51-076bf08365c7,2026,6,35,f,,2026-06-03 16:51:27.236327+00,2026-06-18 16:27:58.255038+00,overdue,
15b0ec09-172c-400a-ad20-c8c68dda2646,1fe2031b-61e8-4a65-a3d0-a0bd550e5e02,2026,5,49,t,2026-05-08 08:07:13.253+00,2026-05-03 22:44:00.235871+00,2026-05-08 08:07:12.798152+00,paid,
a975ba0c-900e-4690-872e-befa59815f0e,ba8de981-2435-452f-abfb-c93737ed0e13,2026,5,29,t,2026-05-12 11:52:30.229+00,2026-05-03 22:43:56.166188+00,2026-05-12 11:52:30.545546+00,paid,
1cd2ab3b-43d9-48b2-ae5c-c016cc73e884,1fe2031b-61e8-4a65-a3d0-a0bd550e5e02,2026,6,49,t,2026-06-04 17:31:33.871+00,2026-06-02 00:22:14.448787+00,2026-06-04 17:31:34.433438+00,paid,
ee900b28-ab8a-4822-8e3b-f256977ef62c,6b79e6f1-6271-4433-80a1-abc036f5404a,2026,5,36.5,t,2026-05-14 19:00:16.534+00,2026-05-09 18:30:48.62569+00,2026-05-14 19:00:16.181843+00,paid,36.5
31ce894d-9e4b-4bbb-accb-ea4240fb487e,dc51f4e2-fd80-4d00-95cf-8a4130a4d722,2026,6,29,t,2026-06-10 06:30:13.117+00,2026-06-02 00:29:19.348804+00,2026-06-10 06:30:13.389112+00,paid,
820e628d-8536-4d3a-b726-7737269112fb,9794d927-d1af-465b-b8ce-a868a7f45623,2026,6,41.65,t,2026-06-02 07:57:49.856+00,2026-06-01 21:04:51.212813+00,2026-06-10 06:32:36.40109+00,paid,41.65
4cf40009-bab4-46f4-8286-ce5f7862ea85,9794d927-d1af-465b-b8ce-a868a7f45623,2026,7,41.65,f,,2026-06-01 21:04:51.315821+00,2026-06-10 06:32:36.496849+00,none,41.65
1dba2cd4-21b9-4dcb-949f-a1c0b42bf7d6,9794d927-d1af-465b-b8ce-a868a7f45623,2026,8,41.65,f,,2026-06-01 21:04:51.397403+00,2026-06-10 06:32:36.584368+00,none,41.65
233b23aa-23aa-4e9e-bfcb-be90e81a5e13,38d07878-94d1-4af2-a902-316c71658fa8,2026,6,69,t,2026-06-10 07:26:31.919+00,2026-06-08 23:52:34.378583+00,2026-06-10 07:26:32.162574+00,paid,
8c983eb7-1802-407b-a148-61d7cefe508c,dc51f4e2-fd80-4d00-95cf-8a4130a4d722,2026,5,29,t,2026-05-16 13:41:44.637+00,2026-05-05 14:15:58.333994+00,2026-05-16 13:41:43.702667+00,paid,
4a0bb843-601b-401f-b441-05604d67e72c,5e950efa-0b55-4b71-bc88-75d4029f726c,2026,5,49,t,2026-05-20 21:55:27.723+00,2026-05-15 15:28:44.571186+00,2026-05-20 21:55:26.080585+00,paid,
e5cbd007-305f-45da-99a1-94bd9d1e82f0,5e950efa-0b55-4b71-bc88-75d4029f726c,2026,6,49,t,2026-06-11 15:55:13.348+00,2026-06-03 16:05:03.985102+00,2026-06-11 15:55:13.541459+00,paid,
874310be-6816-49da-8309-8311b22f7484,6b79e6f1-6271-4433-80a1-abc036f5404a,2026,6,54,t,2026-06-12 13:33:20.37+00,2026-05-14 19:00:24.465336+00,2026-06-12 13:33:20.254479+00,paid,
